side,entry_timestamp,entry_price,exit_timestamp,exit_price,quantity,gross_pnl,net_pnl,r_multiple,trade_duration_minutes,exit_reason
SHORT,2025-11-03 09:15:00+05:30,1341.9287,2025-11-03 09:40:00+05:30,1345.247611196826,4,-13.275644787304373,-53.27564478730437,-0.837070499291262,25.0,STOP_LOSS
SHORT,2025-11-03 10:00:00+05:30,1342.4284499999999,2025-11-03 10:35:00+05:30,1346.2566430758536,4,-15.312772303414931,-55.31277230341493,-0.8764141878892509,35.0,STOP_LOSS
SHORT,2025-11-03 11:35:00+05:30,1342.3285,2025-11-03 11:55:00+05:30,1345.6907269005317,4,-13.448907602126383,-53.44890760212638,-0.8543696307330813,20.0,STOP_LOSS
SHORT,2025-11-03 12:30:00+05:30,1342.3285,2025-11-03 12:40:00+05:30,1345.5186121248355,4,-12.760448499341692,-52.76044849934169,-0.850632299726755,10.0,STOP_LOSS
LONG,2025-11-03 13:25:00+05:30,1348.7740499999998,2025-11-03 13:45:00+05:30,1345.856939702572,4,-11.668441189711302,-51.6684411897113,-0.8401731553612954,20.0,STOP_LOSS
LONG,2025-11-03 13:55:00+05:30,1350.0747000000001,2025-11-03 14:05:00+05:30,1346.730385741131,4,-13.37725703547676,-53.37725703547676,-0.8753141204535035,10.0,STOP_LOSS
LONG,2025-11-03 14:10:00+05:30,1349.6744999999999,2025-11-03 14:30:00+05:30,1346.2314603947757,4,-13.77215842089663,-53.77215842089663,-0.8895765530564076,20.0,STOP_LOSS
LONG,2025-11-03 15:25:00+05:30,1349.6744999999999,2025-11-04 09:15:00+05:30,1346.4597079359721,4,-12.859168256110934,-52.859168256110934,-0.8823214787424297,1070.0,STOP_LOSS
SHORT,2025-11-04 09:30:00+05:30,1341.42895,2025-11-04 13:35:00+05:30,1339.6695,4,7.037800000000061,-32.96219999999994,-0.5551004697717005,245.0,STRATEGY_EXIT_SHORT
SHORT,2025-11-04 15:00:00+05:30,1335.7318000000002,2025-11-04 15:05:00+05:30,1338.6908983320873,4,-11.836393328348095,-51.836393328348095,-0.8778244396955013,5.0,STOP_LOSS
SHORT,2025-11-04 15:15:00+05:30,1335.83175,2025-11-04 15:25:00+05:30,1337.56845,4,-6.946799999999712,-46.94679999999971,-0.8020622218758814,10.0,STRATEGY_EXIT_SHORT
SHORT,2025-11-06 09:20:00+05:30,1335.1321,2025-11-06 13:55:00+05:30,1325.1622499999999,4,39.879400000000714,-0.1205999999992855,-0.0020770489417124907,275.0,STRATEGY_EXIT_SHORT
SHORT,2025-11-06 14:45:00+05:30,1320.3395,2025-11-06 14:50:00+05:30,1323.6401859341074,4,-13.202743736429511,-53.20274373642951,-0.916310098333632,5.0,STOP_LOSS
SHORT,2025-11-06 15:00:00+05:30,1319.3400000000001,2025-11-06 15:25:00+05:30,1320.9601499999999,4,-6.480599999998958,-46.48059999999896,-0.8079379292465804,25.0,STRATEGY_EXIT_SHORT
LONG,2025-11-07 09:45:00+05:30,1332.16575,2025-11-07 15:25:00+05:30,1341.9287,4,39.051800000000185,-0.9481999999998152,-0.016616107893879153,340.0,STRATEGY_EXIT_LONG
LONG,2025-11-10 09:15:00+05:30,1344.37185,2025-11-10 11:05:00+05:30,1342.4284499999999,4,-7.773600000000442,-47.77360000000044,-0.8373161933561816,110.0,STRATEGY_EXIT_LONG
LONG,2025-11-10 11:20:00+05:30,1346.17275,2025-11-10 11:35:00+05:30,1343.0204810114635,4,-12.609075954145737,-52.60907595414574,-0.9298521998382209,15.0,STOP_LOSS
LONG,2025-11-10 12:40:00+05:30,1345.8726,2025-11-10 15:25:00+05:30,1346.1266,4,1.0160000000005311,-38.98399999999947,-0.6954995231668872,165.0,STRATEGY_EXIT_LONG
LONG,2025-11-11 09:15:00+05:30,1353.8766,2025-11-11 09:20:00+05:30,1350.5837506994028,4,-13.171397202389016,-53.17139720238902,-0.9552555720193003,5.0,STOP_LOSS
LONG,2025-11-11 09:25:00+05:30,1351.37535,2025-11-11 10:05:00+05:30,1347.9309794295873,4,-13.777482281650919,-53.77748228165092,-0.9754624076319864,40.0,STOP_LOSS
LONG,2025-11-11 10:50:00+05:30,1351.9756499999999,2025-11-11 11:50:00+05:30,1348.636860935253,4,-13.355156258987336,-53.355156258987336,-0.9773354333253197,60.0,STOP_LOSS
LONG,2025-11-11 12:05:00+05:30,1352.1757499999999,2025-11-11 14:35:00+05:30,1353.5229000000002,3,4.04145000000085,-35.95854999999915,-0.6651733035523184,150.0,STRATEGY_EXIT_LONG
LONG,2025-11-11 15:00:00+05:30,1358.37885,2025-11-11 15:25:00+05:30,1358.3205,3,-0.17505000000005566,-40.175050000000056,-0.7481480138850914,25.0,STRATEGY_EXIT_LONG
LONG,2025-11-12 09:15:00+05:30,1362.18075,2025-11-12 09:25:00+05:30,1358.3397971998816,3,-11.52285840035529,-51.52285840035529,-0.9667015860578478,10.0,STOP_LOSS
LONG,2025-11-12 09:55:00+05:30,1361.18025,2025-11-12 10:20:00+05:30,1357.4928419183248,3,-11.06222424502539,-51.06222424502539,-0.9674108786641216,25.0,STOP_LOSS
LONG,2025-11-12 10:30:00+05:30,1360.6799999999998,2025-11-12 12:00:00+05:30,1358.42045,3,-6.778649999999288,-46.77864999999929,-0.8949129424636999,90.0,STRATEGY_EXIT_LONG
LONG,2025-11-12 12:25:00+05:30,1361.4804,2025-11-12 14:05:00+05:30,1360.0196500000002,3,-4.382249999999203,-44.3822499999992,-0.8567349279115133,100.0,STRATEGY_EXIT_LONG
SHORT,2025-11-12 15:15:00+05:30,1357.02115,2025-11-12 15:25:00+05:30,1359.17925,3,-6.47429999999963,-46.47429999999963,-0.904871265322692,10.0,STRATEGY_EXIT_SHORT
LONG,2025-11-13 09:20:00+05:30,1368.684,2025-11-13 14:00:00+05:30,1385.5069,3,50.468700000000354,10.468700000000354,0.20569057315599729,280.0,STRATEGY_EXIT_LONG
SHORT,2025-11-14 09:25:00+05:30,1379.1101,2025-11-14 14:35:00+05:30,1368.7840499999998,3,30.97815000000105,-9.021849999998949,-0.17689878524161992,310.0,STRATEGY_EXIT_SHORT
SHORT,2025-11-14 14:55:00+05:30,1364.7173000000003,2025-11-14 15:00:00+05:30,1367.7164523461565,3,-8.997457038468838,-48.99745703846884,-0.9624357159876137,5.0,STOP_LOSS
LONG,2025-11-17 09:15:00+05:30,1378.7890499999999,2025-11-17 09:40:00+05:30,1374.9512306386027,3,-11.51345808419137,-51.51345808419137,-1.021689534089337,25.0,STOP_LOSS
